기준_년분기_코드,상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20251,U,관광특구,3001491,이태원 관광특구,CS300011,일반의류,13042704910,88166,7113590361,5929114549,1176917246,1043447853,1317806563,1680130027,1895288672,3102786587,2826327962,0,93839791,2688256628,5349122788,4836928781,74556922,4995689681,7750763426,44654409,2685672451,4095342981,1894843763,2549643516,1476295984,54669,33497,7771,9362,11150,11150,15236,19048,14449,32,2138,23833,35662,26004,497,28918,58323,3222,21652,31083,12284,12636,6360
20251,U,관광특구,3001491,이태원 관광특구,CS300018,의약품,396416252,26938,316776600,79639652,74465297,53715284,48463926,64190065,75942028,67237996,12401656,0,66654043,118117825,130195531,80056650,1392203,210136584,186279668,50920,64044101,110336411,65967290,57399777,98617753,22065,4873,5060,3514,3647,4209,5635,3481,1392,0,4110,8156,8263,6365,44,13358,13580,22,5631,8277,3795,3772,5441
20251,U,관광특구,3001491,이태원 관광특구,CS300001,슈퍼마켓,3381799818,228057,2238877683,1142922135,429795073,372548610,485353809,398713702,552466489,620344724,522577411,188209712,296740078,454064022,786591359,1177307121,478887526,1779764045,1371231353,27754506,507929554,918631240,477729933,476417738,742532427,141905,86152,25653,23799,29126,27513,35814,45033,41119,32059,19248,25515,39497,72204,39534,142916,77398,823,42373,78972,32943,28538,36669
20251,U,관광특구,3001491,이태원 관광특구,CS300010,반찬가게,186000000,5255,112691440,73308560,17872325,18505114,21889402,22742428,31682171,42231164,31077396,2446183,6138617,28171096,47754994,61948734,39540376,104188180,45707362,281148,26690824,56405448,35257706,23005116,8255302,3261,1994,608,509,574,600,970,1081,913,90,178,793,1303,1931,960,3212,1722,26,1127,1856,974,663,288
20251,U,관광특구,3001491,이태원 관광특구,CS100009,호프-간이주점,9899482457,310591,4320267875,5579214582,684827121,618722167,1051043249,747053191,1218622147,2843787652,2735426930,4020928389,441812841,680013333,686923678,1320087903,2749716313,6207167592,3198788433,50850943,2636323947,4007642952,1512568295,735996240,462573649,128024,182567,21851,17679,25762,23824,38908,93513,89054,118231,14937,30229,35598,44948,66648,185283,118587,1952,97478,134895,37609,22682,9250
20251,U,관광특구,3001491,이태원 관광특구,CS300017,시계및귀금속,1552817477,9210,812889015,739928462,82890692,232529518,154602079,152763202,190103524,374532755,365395707,0,115751,199391090,734406099,618904537,0,558124356,990415808,1097844,531974695,605587618,191105316,142802990,75971702,4553,4657,695,1214,682,920,1042,2196,2461,0,19,1060,3723,4408,0,3038,6157,14,3591,3336,1058,808,389
20251,U,관광특구,3001491,이태원 관광특구,CS300022,화장품,729883855,13153,432093708,297790147,81008385,80753962,75995510,81326025,113009826,198823168,98966979,0,392297,123556514,226900687,302464920,76569437,173630639,556253216,4488888,241629697,178404458,125253951,91180231,88926630,7790,5363,1485,1231,1177,1454,2443,3280,2083,0,39,2378,3628,5995,1113,3584,9569,93,4226,3672,1949,1804,1409
20251,U,관광특구,3001491,이태원 관광특구,CS200007,치과의원,416195593,3224,354742485,61453108,92718088,56808015,62009320,94058267,49148795,61453108,0,0,24244791,136530334,210029167,45391301,0,187513457,221126965,0,19976519,28943635,99127028,73414136,187179104,2843,381,595,511,687,521,529,381,0,0,468,986,1461,309,0,1613,1576,0,209,391,565,871,1153
20251,U,관광특구,3001491,이태원 관광특구,CS300028,화초,74725620,1055,35869757,38855863,4507057,3183490,14947607,4833249,8398354,33996225,4859638,0,3962791,23109143,33180894,14256887,215905,16856814,52765557,0,10703887,19240686,4788533,9820538,25068726,568,487,83,62,108,97,218,332,155,0,55,230,323,431,16,467,553,0,378,286,121,168,65
20251,U,관광특구,3001491,이태원 관광특구,CS200028,미용실,454788591,4619,259669118,195119473,22064427,20722168,54951915,68799755,93130853,116904825,78214648,0,7721395,130998725,176789989,136600204,2678278,122087871,326584053,828955,96935370,155299878,98445269,41928272,55234178,2719,1900,222,278,624,664,931,1133,767,0,100,1332,1790,1315,82,1835,2745,25,894,1506,1060,547,551
20251,U,관광특구,3001491,이태원 관광특구,CS200031,세탁소,97141732,5214,73201534,23940198,9011941,2198347,20235416,21614024,20141806,23940198,0,0,1884297,27722870,53169082,9165192,5200291,42752334,54389398,0,23488266,25838572,27523214,20291680,0,3710,1504,510,157,1030,1068,945,1504,0,0,157,1661,2451,509,436,2763,2451,0,1700,1225,873,1416,0
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100001,한식음식점,105629044146,1737999,84306920479,21322123667,14644288217,14021622789,16230763792,21870913965,17539331716,12574451563,8747672104,526908509,4531792340,38349232340,15552656877,36611063177,10057390903,37614908989,24168566718,122574840,4844899280,14597562906,13947800410,12671952720,15598685551,1440531,297468,274404,270729,278861,301525,315012,188691,108777,8343,76945,950571,210022,401937,90181,762474,627279,3955,152829,361123,347829,276691,247332
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300036,조명용품,60000000,686,60000000,0,23006669,19119891,13564199,3568161,741080,0,0,0,17681308,26267438,16051254,0,0,16880146,43119854,0,0,0,7778836,0,52221164,686,0,261,241,130,27,27,0,0,0,130,343,213,0,0,82,604,0,0,0,130,0,556
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100004,양식음식점,5980173779,136837,4554760091,1425413688,725854060,900400701,907447469,1008795228,1012262633,811454798,613958890,135734040,2663106,2836655493,803456308,1768615131,433049701,1881326286,2101321623,16647748,593399304,1227054377,1060118613,714286046,371141821,93587,43250,14291,19487,20961,20820,18028,22712,20538,386,121,69231,22719,40560,3820,50141,67049,907,24240,37827,29599,16810,7807
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300031,가구,214170267,1345,67662589,146507678,11383292,18745245,23964528,4830176,8739348,135261388,11246290,0,3791609,61657269,119915100,28806289,0,34741549,171548222,0,8681347,2170337,53863813,41575703,99998571,885,460,100,358,209,109,109,381,79,0,100,440,569,236,0,389,926,0,39,39,157,418,662
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300035,인테리어,3753564163,46595,3065346531,688217632,763557334,696499202,433605329,385233022,786451644,623154893,65062739,0,215221621,1262335173,2021520015,242055919,12431435,1332602909,1713471560,258285,76718623,852981877,502846519,322911743,1290357424,32556,14039,6637,6684,6146,6841,6248,11664,2375,0,2337,18269,20411,5181,397,14375,29115,12,2553,7231,7548,6229,19911
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100002,중식음식점,7629969787,149506,6400544816,1229424971,1041908908,1154054460,1259003961,1466238858,1479338629,836611621,392813350,26175929,8900327,3031223271,611444712,2987067507,965158041,2919288752,1784259586,10363202,622473126,1449085060,1138799880,816445821,666381250,122692,26814,21936,22482,23666,25722,28886,16960,9854,301,312,83353,17838,40283,7419,70307,50274,386,17034,36384,29840,20949,15983
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100006,패스트푸드점,2100659720,185312,1731082584,369577136,329419286,297019928,339417943,365558812,399666615,202665019,166912117,0,301299862,946037676,338896181,483994853,30431148,742054652,828026465,8341953,271227827,548117861,390217857,230053768,122121849,152892,32420,28818,27849,29857,32416,33952,17945,14475,0,47157,67615,30580,38175,1785,78014,91517,837,30519,63769,40440,22257,11709
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200029,네일숍,158703879,4559,131401248,27302631,23631871,27066691,19381865,30971848,30348973,20338455,6964176,0,0,46379440,37141759,74323238,859442,14000474,140087923,487017,21826653,52560315,53233604,6250558,19730252,3679,880,560,544,745,1037,793,572,308,0,0,1621,895,2014,29,297,4226,29,804,1870,1430,227,163
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200007,치과의원,13210059489,61605,12161320770,1048738719,2358861743,2548666431,2507790094,2000154947,2745847555,1048738719,0,0,1237249282,4550616027,3809962980,3562760208,49470992,6601749689,6488844676,599386,799701029,2030718388,2197158383,3384423850,4677993327,56241,5364,11151,12595,10644,7978,13873,5364,0,0,8908,20720,18754,13054,169,29732,31589,12,4571,11985,11356,15508,17888
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300006,미곡판매,1581374433,3814,1581374433,0,541958474,120629466,228067569,401144630,289574294,0,0,0,102034410,321996442,704387085,452956496,0,206452803,1096790448,0,0,7151945,176414635,0,1119676670,3814,0,953,1112,477,795,477,0,0,0,1429,1272,954,159,0,795,1113,0,0,159,318,0,1431
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300007,육류판매,24993167460,243408,22739867198,2253300262,1665440697,2037073826,5718604892,6747827228,6570920555,2253300262,0,38738686,15635192106,2411031281,5464479107,1443726280,0,3096597709,21419438263,0,21435406,135110220,1049232524,3402978259,19907279563,197565,45843,45192,34866,38092,32284,47131,45843,0,1292,45195,47776,103950,45195,0,65719,168004,0,1291,3258,24040,64776,140359
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300029,애완동물,396828026,11465,360394905,36433121,112420382,75859873,20000000,41019108,111095542,36433121,0,0,72089172,202509555,117133758,5095541,0,159681529,224407643,0,1528662,30955414,33885350,134789809,182929936,10318,1147,3311,2166,765,1147,2929,1147,0,0,1911,5351,4076,127,0,4968,6369,0,127,891,1020,4204,5095
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200024,스포츠클럽,38206544,129,36337888,1868656,15185432,6999819,2469718,6257392,5425527,1868656,0,0,3657425,6713962,4327779,20422880,3084498,18306923,19899621,0,7296615,13143805,10062259,6422203,1281662,122,7,33,35,16,17,21,7,0,0,10,24,29,60,6,78,51,0,31,58,28,6,6
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200033,부동산중개업,51000000,113,51000000,0,0,0,0,0,51000000,0,0,0,0,51000000,0,0,0,51000000,0,0,0,0,51000000,0,0,113,0,0,0,0,0,113,0,0,0,0,113,0,0,0,113,0,0,0,0,113,0,0
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100003,일식음식점,7358140960,147399,6436075415,922065545,1133426423,1217708346,1251847811,1391573518,1441519317,539401313,382664232,26245167,36306185,3576835245,365693584,2357941652,995119127,2308938460,1990231482,19823306,790558241,1368477362,995489639,681722114,443099282,127356,20043,23597,23852,24278,26544,29085,11412,8631,129,560,92834,9291,37254,7331,55409,59238,675,24924,41882,25648,14271,7261
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200031,세탁소,24902598,454,24902598,0,12438613,2727880,1410423,1007410,7318272,0,0,0,12023394,5937609,4520230,2421365,0,8450391,1841719,0,882738,5110624,1591068,1150712,1556969,454,0,156,80,65,48,105,0,0,0,100,96,178,80,0,283,72,0,32,124,80,63,56
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200008,한의원,3874175850,40567,3332294398,541881452,580458914,642968882,637969770,322042844,1148853988,541881452,0,0,242620556,1548984367,945541526,1133980286,3049115,1034503258,2827942810,0,427647001,1349860805,615290914,939200272,530447076,37365,3202,8037,6818,6392,7336,8782,3202,0,0,5227,16724,10208,8355,53,15923,24629,0,2884,10088,7643,10138,9800
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300019,의료기기,351000000,1373,304200000,46800000,491597,42605042,42120000,73739495,145243866,46800000,0,0,163866,234491597,116344537,0,0,186544538,164455462,0,0,117000000,42120000,120539496,71340504,948,425,16,17,426,16,473,425,0,0,16,1323,34,0,0,883,490,0,0,31,426,441,475
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200017,골프연습장,581529619,6354,531071438,50458181,106875354,83036067,124639954,68808283,147711780,34358924,16099257,5047332,33326461,123860436,62747853,237179929,119367608,376454338,116653228,0,6671466,134433897,188641817,121349823,42010565,5425,929,1032,1026,941,1300,1126,544,385,93,91,1218,1043,2459,1450,4991,732,0,161,1313,2249,1406,594
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100009,호프-간이주점,7164787730,197154,6192706299,972081431,942948047,1138478664,1232094799,1441400058,1437784731,677500556,294580875,649593170,191862962,1144471876,405574173,1317893812,3455391737,3282116852,1835222400,19122039,750143789,1439649481,1359675360,992551778,556196814,162602,34552,28923,30059,31643,36168,35809,21569,12983,6271,17479,67328,24595,36120,45361,89019,80791,656,29271,51946,38568,28435,20926
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300016,안경,10244156508,56223,6588380986,3655775522,1238152549,1008604571,1660206707,1259304748,1422112411,2422019497,1233756025,0,299251219,3558606960,4139244164,2202129823,44924342,4981560761,5164708277,13362847,483571948,1098567710,2332143424,3168450714,3050172395,37034,19189,7749,6680,6490,7752,8363,12696,6493,0,2036,18223,21551,13350,1063,23466,32538,422,8644,8085,11175,13736,13943
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200034,여관,11571687852,37453,8676380063,2895307789,1539285610,1481418344,2064940940,1692170588,1898564581,1419767152,1475540637,9425603112,226305054,493180516,415579900,600890399,410128871,544338652,670486199,2218600,163235648,316446486,181478667,302499814,248945635,28048,9405,5098,5095,5559,6048,6248,4920,4485,25434,254,3852,2064,3883,1966,5579,5338,43,2819,4115,1380,2073,485
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300008,수산물판매,325118992,810,323407839,1711153,3152123,720485,0,1170789,318364442,1711153,0,0,0,1170789,323948203,0,0,2881942,5043397,0,0,0,0,3872608,4052731,720,90,180,90,0,90,360,90,0,0,0,90,720,0,0,180,360,0,0,0,0,270,270
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200003,예술학원,87000000,550,81246516,5753484,15968883,17467446,13562869,16397989,17849329,5753484,0,0,1137728,13378338,12638746,44875162,14970026,38210583,47332367,0,20206974,28580797,17729466,19025711,0,515,35,104,107,84,102,118,35,0,0,7,93,80,281,89,233,308,0,122,199,104,114,0
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100008,분식전문점,5864948736,606847,5026726391,838222345,939349324,913250312,996350470,1056103248,1121673037,534630562,303591783,28540821,905813208,2747742503,948579315,1130358425,103914464,2274861840,2449232496,14142307,591242105,1423333199,1238964618,893108899,563303203,513302,93545,99832,95468,97649,106615,113738,57243,36302,2283,139299,256073,88978,109554,10660,257644,307697,1945,79237,186370,142956,100745,54096
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS100010,커피-음료,21067226972,2503825,17030467934,4036759038,3131760170,3130601518,3308796905,3603210406,3856098935,2505969319,1530789719,7412599,3244352258,9610614462,4547303671,3000786065,656757917,7707571165,9727049422,85764970,2930658012,5404066310,4211187765,2879629073,1923314489,2097952,405873,399251,391364,405124,438136,464077,248168,157705,577,666900,1080681,477623,240398,37646,1060011,1216966,9332,365910,752415,560578,380407,208311
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS300002,편의점,16034124142,2222993,13099796652,2934327490,2534147058,2439362014,2465407952,2697150730,2963728898,1713649288,1220678202,388166289,3438267562,3562817702,3325036196,4049357023,1270479370,8290261797,6867580414,78522520,2901666807,4977520019,3516438774,2587331804,1096362282,1910817,312176,378093,355826,368339,396889,411670,184141,128035,50427,667208,529130,423365,427125,125738,1317518,838310,11269,375614,761319,513674,352874,141076
20251,U,관광특구,3001492,명동 남대문 북창동 다동 무교동 관광특구,CS200006,일반의원,9676023019,190608,8368155181,1307867838,1804838270,1376266537,1235343501,1633671654,2318035219,1115494264,192373574,0,1206858046,3292266011,3013947125,2162901697,50140,3475041648,6150363269,5057048,1133423639,2689563008,2102167519,1827868634,1867325069,175973,14635,40422,30702,30376,32273,42200,13739,896,0,43011,59060,59808,28729,0,87776,102732,109,18255,48428,41191,39327,43201
