기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20250101,00,11110640,17576.264999999999,435.0156,240.34020000000001,513.37019999999995,771.55769999999995,851.24159999999995,732.13869999999997,839.15719999999999,663.21669999999995,621.596,665.13800000000003,665.86810000000003,419.20179999999999,279.73700000000002,606.78840000000002,251.63030000000001,172.5838,354.82839999999999,972.67520000000002,1195.1169,806.673,822.55110000000002,703.52269999999999,632.096,624.40419999999995,684.62789999999995,518.33349999999996,347.61079999999998,1185.2442000000001,
20250101,00,11110650,24757.6728,429.2304,326.33139999999997,741.52300000000002,1914.2058999999999,1549.6736000000001,804.44100000000003,665.27200000000005,642.94500000000005,753.69150000000002,841.5865,709.86030000000005,513.80039999999997,326.4341,767.79719999999998,460.09570000000002,300.2414,1148.0471,3100.8420000000001,1647.2564,828.24549999999999,811.35950000000003,744.8664,871.8691,855.23000000000002,705.03980000000001,607.48569999999995,414.43329999999997,1275.8696,
20250101,00,11110670,6531.7254999999996,62.2008,43.213299999999997,136.857,321.74029999999999,304.99529999999999,235.79390000000001,297.69709999999998,272.89139999999998,236.92670000000001,280.1327,296.01499999999999,267.67959999999999,193.83109999999999,286.53590000000003,123.5168,60.635399999999997,71.204599999999999,458.20049999999998,313.23390000000001,209.13910000000001,240.58179999999999,230.7073,181.1833,254.8323,266.14490000000001,252.05590000000001,212.22049999999999,421.55889999999999,
20250101,00,11110680,8837.6345999999994,170.4796,115.486,133.31290000000001,352.19880000000001,328.48989999999998,262.8039,277.29860000000002,267.74310000000003,294.92860000000002,387.55889999999999,511.9325,432.81650000000002,252.1635,520.59299999999996,100.188,74.839200000000005,152.87780000000001,410.75099999999998,321.70839999999998,247.1446,344.54410000000001,171.17310000000001,277.18430000000001,378.99849999999998,516.79039999999998,448.56,283.64429999999999,801.42520000000002,
20250101,00,11110690,6170.0284000000001,200.115,104.3737,109.3245,162.25810000000001,175.18010000000001,147.9194,268.73140000000001,309.46719999999999,289.69779999999997,233.89959999999999,211.01320000000001,222.49260000000001,150.0162,307.21480000000003,186.43100000000001,121.26300000000001,107.43219999999999,220.62780000000001,197.4015,266.57589999999999,289.47160000000002,275.89240000000001,235.13839999999999,239.16980000000001,279.37060000000002,240.309,156.46950000000001,462.77210000000002,
20250101,00,11110700,7771.1378000000004,184.9476,87.653000000000006,126.06480000000001,267.49239999999998,275.30329999999998,273.26749999999998,324.2362,351.15289999999999,351.81700000000001,322.32119999999998,353.50229999999999,295.517,211.90299999999999,366.88639999999998,179.821,91.823700000000002,89.441199999999995,304.28609999999998,363.67320000000001,328.37759999999997,319.71839999999997,284.44409999999999,271.11090000000002,317.95179999999999,340.99299999999999,278.36419999999998,204.42310000000001,604.64509999999996,
20250101,00,11110710,10876.6139,194.5247,97.262500000000003,149.25470000000001,483.8184,587.08640000000003,537.42269999999996,450.21010000000001,330.61759999999998,431.50240000000002,444.9545,423.06990000000002,384.41570000000002,322.5548,442.45479999999998,175.32480000000001,72.887900000000002,168.72659999999999,739.59659999999997,839.55430000000001,481.68830000000003,427.84289999999999,337.29140000000001,416.30029999999999,280.88549999999998,393.22109999999998,309.76819999999998,234.91829999999999,719.45849999999996,
20250101,00,11140520,7601.2258000000002,509.7116,74.139799999999994,169.46639999999999,268.28899999999999,380.27699999999999,397.95310000000001,464.97019999999998,404.15390000000002,450.98469999999998,394.47329999999999,310.70409999999998,140.99690000000001,162.35759999999999,143.2373,92.292299999999997,45.0974,180.56219999999999,379.82650000000001,379.56360000000001,407.80829999999997,375.9298,321.19830000000002,329.6053,226.34729999999999,193.29769999999999,143.9067,92.9923,161.0838,
20250101,00,11140540,7890.7956999999997,209.8012,87.865300000000005,96.293899999999994,258.58879999999999,299.01510000000002,323.62900000000002,431.33199999999999,459.89440000000002,437.3109,435.64999999999998,414.93290000000002,260.61059999999998,197.28389999999999,318.43939999999998,142.3235,50.5777,99.055499999999995,272.05759999999998,341.80430000000001,282.64019999999999,328.53570000000002,283.82459999999998,344.81259999999997,316.6823,275.73239999999998,234.5686,205.35589999999999,482.17739999999998,
20250101,00,11140550,13959.2263,370.8474,113.3145,434.88330000000002,752.84450000000004,896.29330000000004,666.58730000000003,751.53989999999999,693.17100000000005,826.78510000000006,664.69600000000003,530.31200000000001,310.23110000000003,198.40629999999999,334.80810000000002,383.93669999999997,147.66800000000001,291.3229,1057.9422999999999,921.31679999999994,602.90300000000002,483.48590000000002,501.77409999999998,527.44010000000003,439.41269999999997,331.38209999999998,242.62379999999999,156.73740000000001,326.55990000000003,
